UBIGEO,DISTRICT,PRIVADO,PUBLICO,TOTAL
70101,CALLAO,12.0,33.0,45.0
70102,BELLAVISTA,9.0,9.0,18.0
70103,CARMEN DE LA LEGUA-REYNOSO,2.0,4.0,6.0
70104,LA PERLA,0.0,4.0,4.0
70105,LA PUNTA,0.0,1.0,1.0
70106,VENTANILLA,3.0,16.0,19.0
70107,MI PERU,0.0,1.0,1.0
150101,LIMA,21.0,21.0,42.0
150103,ATE,2.0,9.0,11.0
150104,BARRANCO,1.0,0.0,1.0
150105,BREÑA,4.0,2.0,6.0
150106,CARABAYLLO,0.0,4.0,4.0
150107,CHACLACAYO,0.0,2.0,2.0
150108,CHORRILLOS,11.0,11.0,22.0
150110,COMAS,7.0,4.0,11.0
150111,EL AGUSTINO,0.0,2.0,2.0
150112,INDEPENDENCIA,2.0,3.0,5.0
150113,JESUS MARIA,22.0,12.0,34.0
150114,LA MOLINA,10.0,2.0,12.0
150115,LA VICTORIA,4.0,4.0,8.0
150116,LINCE,10.0,2.0,12.0
150117,LOS OLIVOS,18.0,0.0,18.0
150118,LURIGANCHO,2.0,3.0,5.0
150119,LURIN,2.0,2.0,4.0
150120,MAGDALENA DEL MAR,12.0,2.0,14.0
150121,PUEBLO LIBRE,18.0,2.0,20.0
150122,MIRAFLORES,31.0,10.0,41.0
150125,PUENTE PIEDRA,2.0,4.0,6.0
150128,RIMAC,0.0,4.0,4.0
150129,SAN BARTOLO,0.0,2.0,2.0
150130,SAN BORJA,40.0,5.0,45.0
150131,SAN ISIDRO,39.0,4.0,43.0
150132,SAN JUAN DE LURIGANCHO,16.0,6.0,22.0
150133,SAN JUAN DE MIRAFLORES,6.0,6.0,12.0
150134,SAN LUIS,2.0,2.0,4.0
150135,SAN MARTIN DE PORRES,4.0,9.0,13.0
150136,SAN MIGUEL,10.0,4.0,14.0
150137,SANTA ANITA,2.0,6.0,8.0
150140,SANTIAGO DE SURCO,32.0,2.0,34.0
150141,SURQUILLO,12.0,8.0,20.0
150142,VILLA EL SALVADOR,4.0,4.0,8.0
150143,VILLA MARIA DEL TRIUNFO,8.0,0.0,8.0
