,COD_IPRESS,x,y,SECTOR_R
0,00023013,,,PRIVADO
1,00003978,-12.74216167,-74.4427,PUBLICO
2,00004114,-12.29151737,-74.9117381,PUBLICO
3,00005895,-11.78809461,-76.6198184,PUBLICO
4,00023192,,,PRIVADO
5,00023108,,,PRIVADO
6,00023208,,,PRIVADO
7,00023215,,,PRIVADO
8,00029221,-5.9473198,-78.0309542,PRIVADO
9,00006249,-12.06171682,-77.10633786,PUBLICO
10,00000590,-11.44940847,-75.66404206,PUBLICO
11,00001269,-16.44747911,-71.53409191,PUBLICO
12,00029306,-11.252678,-74.6371154,PRIVADO
13,00023195,,,PRIVADO
14,00023197,-5.1782884,-80.6548882,PRIVADO
15,00003907,-12.55816602,-75.03659022,PUBLICO
16,00029374,-11.4193347,-75.6889493,PUBLICO
17,00004095,-12.443717,-74.653107,PUBLICO
18,00004428,-6.5047648,-79.96687413,PUBLICO
19,00023026,,,PRIVADO
20,00023227,-12.196402,-77.006763,PRIVADO
21,00023231,,,PRIVADO
22,00023236,,,PRIVADO
23,00023111,-8.09543664,-79.03265818,PRIVADO
24,00023029,,,PRIVADO
25,00023135,-4.02333402,-77.77779657,PUBLICO
26,00023136,-4.83102303,-77.93784934,PUBLICO
27,00002922,-18.06886603,-70.29363645,PUBLICO
28,00023244,,,PRIVADO
29,00023246,,,PRIVADO
30,00023103,-16.38502733,-71.53917298,PRIVADO
31,00029267,-12.0307337,-76.99915765,PRIVADO
32,00023088,,,PRIVADO
33,00023094,,,PRIVADO
34,00003991,-12.603285,-74.50188667,PUBLICO
35,00003448,-14.91254167,-74.98643,PUBLICO
36,00029014,-4.31652554,-76.70619377,PUBLICO
37,00004056,-13.85801,-75.18668,PUBLICO
38,00007705,-12.70683659,-74.653826,PUBLICO
39,00029444,-12.03964575,-77.05301712,PRIVADO
40,00023092,,,PRIVADO
41,00023035,,,PRIVADO
42,00023151,-11.99115958,-77.07320308,PRIVADO
43,00023152,,,PRIVADO
44,00023016,-12.19757198,-76.9342325,PRIVADO
45,00023156,-12.0968503,-77.0303789,PRIVADO
46,00029148,-16.3899096,-71.54738879,PRIVADO
47,00003444,-14.66566833,-75.22285833,PUBLICO
48,00003994,-12.51617677,-74.52511377,PUBLICO
49,00003929,-12.84724313,-74.41692366,PUBLICO
50,00023155,,,PRIVADO
51,00023158,,,PRIVADO
52,00023204,,,PRIVADO
53,00023205,,,PRIVADO
54,00029604,-11.8577575,-77.1226288,PRIVADO
55,00023034,-17.65268394,-71.33634812,PUBLICO
56,00023072,-12.0604759,-77.138165,PRIVADO
57,00023093,,,PRIVADO
58,00023167,,,PRIVADO
59,00028502,-12.60083229,-69.1833727,PRIVADO
60,00028447,-16.3927204,-71.56759155,PRIVADO
61,00029239,-11.8818631,-77.0233781,PRIVADO
62,00003957,-12.9729,-74.84730167,PUBLICO
63,00023040,,,PRIVADO
64,00023114,,,PRIVADO
65,00028542,-13.65181601,-73.42889455,PRIVADO
66,00004109,-12.27870433,-74.93462003,PUBLICO
67,00023211,,,PRIVADO
68,00023168,,,PRIVADO
69,00029248,-12.118937,-77.0299731,PRIVADO
70,00011212,-12.55063872,-74.4648043,PUBLICO
71,00023176,,,PRIVADO
72,00023039,,,PRIVADO
73,00005762,-11.930841,-77.037336,PUBLICO
74,00023179,,,PRIVADO
75,00029162,-11.1043207,-77.60687047,PRIVADO
76,00002906,-18.20842309,-70.51386387,PUBLICO
77,00003866,-12.68568922,-74.84793513,PUBLICO
78,00003999,-12.63635333,-74.523455,PUBLICO
79,00023148,-8.114448,-79.011939,PRIVADO
80,00003922,-12.82522687,-74.54160707,PUBLICO
81,00003968,-13.14474667,-74.40474667,PUBLICO
82,00004394,-6.49604722,-79.83283835,PUBLICO
83,00029330,-3.56353805,-80.45564598,PRIVADO
84,00005885,-12.0265333,-76.8226607,PUBLICO
85,00023050,,,PRIVADO
86,00023118,-12.0427277,-76.935549,PRIVADO
87,00023033,,,PRIVADO
88,00023187,,,PRIVADO
89,00003936,-12.6265327,-74.69123084,PUBLICO
90,00004367,-6.81727331,-79.20183126,PUBLICO
91,00023161,,,PRIVADO
92,00029103,,,PRIVADO
93,00016887,,,PRIVADO
94,00019870,,,PRIVADO
95,00009696,-12.74952783,-74.7243512,PUBLICO
96,00023149,,,PRIVADO
97,00023193,,,PRIVADO
98,00023219,,,PRIVADO
99,00023137,-4.61003175,-77.73921567,PUBLICO
100,00028544,-13.6616515,-73.3767641,PRIVADO
101,00029377,-16.3902568,-71.5453307,PRIVADO
102,00020778,,,PRIVADO
103,00020762,-6.47488825,-76.3774527,PUBLICO
104,00020698,,,PRIVADO
105,00020814,,,PRIVADO
106,00020758,,,PRIVADO
107,00020787,,,PRIVADO
108,00020788,,,PRIVADO
109,00028710,-17.19358706,-70.93508429,PRIVADO
110,00029411,,,PRIVADO
111,00029413,-13.5187004,-71.9815288,PRIVADO
112,00020732,-12.03979639,-77.0613677,PRIVADO
113,00020885,,,PRIVADO
114,00021377,,,PRIVADO
115,00020856,,,PRIVADO
116,00020802,,,PRIVADO
117,00021417,-8.39101862,-74.54506736,PUBLICO
118,00020934,,,PRIVADO
119,00021191,,,PRIVADO
120,00028851,-12.05868599,-75.20371496,PRIVADO
121,00029459,-7.1527637,-78.5218473,PRIVADO
122,00020837,,,PRIVADO
123,00020800,,,PRIVADO
124,00021612,-12.0181791,-76.9671865,PRIVADO
125,00020836,-12.07746695,-76.99716098,PRIVADO
126,00021057,,,PRIVADO
127,00020970,,,PRIVADO
128,00020895,,,PRIVADO
129,00028446,-16.4061786,-71.5476298,PRIVADO
130,00028855,-11.54610995,-75.93171829,PUBLICO
131,00029370,-6.4824784,-76.3726891,PRIVADO
132,00021107,,,PRIVADO
133,00021049,,,PRIVADO
134,00021870,,,PRIVADO
135,00020870,,,PRIVADO
136,00020821,,,PRIVADO
137,00028947,-12.07703523,-75.2051515,PUBLICO
138,00029473,-11.77805329,-77.16184282,PUBLICO
139,00020823,-12.02307765,-77.13413473,PUBLICO
140,00021019,,,PRIVADO
141,00020891,,,PRIVADO
142,00020866,,,PRIVADO
143,00020868,-5.24656965,-78.96963414,PUBLICO
144,00028452,-12.0607384,-77.0976086,PRIVADO
145,00020807,,,PRIVADO
146,00029191,-13.5226128,-71.9666317,PRIVADO
147,00021359,,,PRIVADO
148,00021383,,,PRIVADO
149,00020855,,,PRIVADO
150,00020937,-12.0434859,-76.93644918,PRIVADO
151,00020835,,,PRIVADO
152,00020936,-12.0104398,-77.0034367,PRIVADO
153,00021090,,,PRIVADO
154,00029069,-5.82160064,-78.27491599,PUBLICO
155,00029193,-13.53195,-71.9674626,PRIVADO
156,00020794,,,PRIVADO
157,00020739,,,PRIVADO
158,00020716,,,PRIVADO
159,00020717,,,PRIVADO
160,00020876,,,PRIVADO
161,00021033,,,PRIVADO
162,00020938,,,PRIVADO
163,00021012,,,PRIVADO
164,00029199,-13.51965509,-71.97320379,PRIVADO
165,00029495,,,PRIVADO
166,00020817,,,PRIVADO
167,00021204,,,PRIVADO
168,00021117,,,PRIVADO
169,00020825,,,PUBLICO
170,00020765,,,PUBLICO
171,00028555,-13.52207781,-71.9642157,PRIVADO
172,00029053,-7.34579263,-78.1792434,PRIVADO
173,00029427,-11.9198981,-77.1298241,PRIVADO
174,00021376,,,PUBLICO
175,00020748,-12.0833985,-77.0408487,PRIVADO
176,00020785,,,PRIVADO
177,00020914,,,PRIVADO
178,00020879,,,PRIVADO
179,00028540,-9.347409,-77.171603,PUBLICO
180,00020754,,,PRIVADO
181,00029118,-7.1621056,-78.5086388,PRIVADO
182,00029428,-11.8729606,-77.12440636,PRIVADO
183,00020743,,,PRIVADO
184,00021011,-11.9299805,-77.053541,PRIVADO
185,00020752,,,PRIVADO
186,00020862,,,PRIVADO
187,00021109,,,PRIVADO
188,00020767,,,PRIVADO
189,00029108,-7.15175192,-78.52295941,PRIVADO
190,00029135,-12.0096762,-77.0972182,PRIVADO
191,00020881,,,PRIVADO
192,00020769,,,PRIVADO
193,00020843,,,PRIVADO
194,00020952,,,PRIVADO
195,00020849,,,PRIVADO
196,00020782,,,PRIVADO
197,00021031,-12.03074223,-76.92582495,PRIVADO
198,00021774,-6.78779716,-79.8445848,PRIVADO
199,00029094,-12.02564895,-77.00169047,PRIVADO
200,00020803,,,PRIVADO
201,00020887,,,PRIVADO
202,00020941,,,PRIVADO
203,00020784,,,PRIVADO
204,00020883,,,PRIVADO
205,00021872,,,PRIVADO
206,00028407,-12.02156501,-77.10098286,PRIVADO
207,00020838,,,PRIVADO
208,00020830,,,PRIVADO
209,00029120,-7.1617465,-78.5127855,PRIVADO
210,00020944,,,PRIVADO
211,00020796,-12.10175881,-77.00632154,PRIVADO
212,00020801,,,PRIVADO
213,00020809,,,PRIVADO
214,00020826,,,PRIVADO
215,00021053,,,PRIVADO
216,00020931,,,PRIVADO
217,00028969,-6.2301547,-77.8708478,PRIVADO
218,00020834,,,PRIVADO
219,00029261,,,PRIVADO
220,00021164,,,PRIVADO
221,00020745,,,PRIVADO
222,00020966,,,PRIVADO
223,00020669,,,PRIVADO
224,00020706,,,PRIVADO
225,00029019,-6.86778829,-78.14515971,PRIVADO
226,00029099,-7.1444179,-78.5175125,PRIVADO
227,00029259,-12.02822406,-76.95182147,PRIVADO
228,00029246,-3.7436735,-73.2516326,PRIVADO
229,00020759,,,PRIVADO
230,00020772,,,PRIVADO
231,00021023,-18.01454088,-70.25868879,PRIVADO
232,00020740,-6.7555422,-79.857624,PRIVADO
233,00020813,,,PRIVADO
234,00020846,,,PRIVADO
235,00029068,-6.4313869,-77.5318683,PUBLICO
236,00029410,-13.53195,-71.9674626,PRIVADO
237,00022053,,,PRIVADO
238,00022038,,,PRIVADO
239,00022095,-16.4171502,-71.50940222,PRIVADO
240,00022034,,,PRIVADO
241,00022064,,,PRIVADO
242,00022010,,,PRIVADO
243,00022012,,,PRIVADO
244,00029730,,,PRIVADO
245,00029462,-4.5889846,-81.2560144,PRIVADO
246,00022109,,,PRIVADO
247,00022013,-12.091248,-77.018636,PRIVADO
248,00022092,,,PRIVADO
249,00022029,-12.0978146,-77.0205373,PRIVADO
250,00021992,,,PRIVADO
251,00022098,,,PRIVADO
252,00021936,-11.86696489,-77.07654338,PRIVADO
253,00030016,-12.09792432,-77.01044864,PRIVADO
254,00022110,,,PRIVADO
255,00021947,,,PRIVADO
256,00022099,,,PRIVADO
257,00022072,,,PRIVADO
258,00021989,,,PRIVADO
259,00028550,,,PRIVADO
260,00022011,,,PRIVADO
261,00030017,-12.0836358,-77.03161395,PRIVADO
262,00022032,,,PRIVADO
263,00022076,,,PRIVADO
264,00022078,,,PRIVADO
265,00021934,-5.82481484,-77.96734866,PUBLICO
266,00022022,,,PRIVADO
267,00022009,,,PRIVADO
268,00021980,-12.08091658,-77.01201676,PRIVADO
269,00028586,-11.9436633,-77.059869,PRIVADO
270,00029883,-12.16283651,-76.96562027,PRIVADO
271,00003959,-12.88871167,-74.71289167,PUBLICO
272,00023055,,,PRIVADO
273,00023052,,,PRIVADO
274,00023063,,,PRIVADO
275,00022030,,,PRIVADO
276,00023064,,,PRIVADO
277,00029930,-12.2947451,-76.8334742,PRIVADO
278,00028603,-12.18869939,-76.95782102,PRIVADO
279,00004117,-12.40937596,-75.17857017,PUBLICO
280,00003914,-12.7135396,-75.43421319,PUBLICO
281,00005922,-12.0344562,-77.0055986,PUBLICO
282,00005851,-12.030828,-76.9418961,PUBLICO
283,00005907,-12.110166,-76.938111,PUBLICO
284,00005867,-11.933911,-76.685491,PUBLICO
285,00023077,,,PRIVADO
286,00029050,-12.1983615,-76.9576155,PRIVADO
287,00022080,-11.98157847,-77.07885302,PRIVADO
288,00022077,,,PRIVADO
289,00021976,,,PRIVADO
290,00021968,-11.8782732,-77.126587,PRIVADO
291,00021973,,,PRIVADO
292,00022040,,,PRIVADO
293,00022044,,,PRIVADO
294,00022055,,,PRIVADO
295,00026516,-12.0899016,-77.0385654,PRIVADO
