,CO_IPRESS,NAME,YEAR,MONTH,UBIGEO,STATE,PROVINCE,DISTRICT,SECTOR,CATEGORY,CATEGORY2,QTY_CONSULTING_ROOM,QTY_OPERATIONS_CONSULTING_ROOM,QTY_BEDS,QTY_DOCTORS,QTY_DOCTORS_SERUM,QTY_DOCTORS_RESIDENT,QTY_NURSE,QTY_DENTISTS,QTY_PSYCHOLOGISTS,QTY_NUTRITIONISTS,QTY_MEDICAL_TECHNOLOGISTS,QTY_OBSTETRICIANS,QTY_PHARMACEUTICAL,QTY_AUXILIARY_PERSONAL,QTY_OTHER_PROFESSIONS,QTY_AMBULANCIAS
0,5617,HOSPITAL SAN JUAN DE LURIGANCHO,2020,11,150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,MINSA,II-2,II,41.0,82.0,145.0,154.0,0.0,18.0,241.0,0.0,0.0,14.0,49.0,57.0,18.0,348.0,378.0,3.0
1,5883,HOSPITAL DE HUAYCAN,2020,12,150103,LIMA,LIMA,ATE,MINSA,II-1,II,23.0,43.0,59.0,80.0,0.0,0.0,71.0,2.0,5.0,4.0,5.0,41.0,9.0,96.0,2.0,1.0
2,5945,HOSPITAL VITARTE,2020,11,150103,LIMA,LIMA,ATE,MINSA,II-1,II,44.0,6.0,55.0,217.0,0.0,51.0,133.0,7.0,5.0,8.0,30.0,46.0,13.0,248.0,11.0,3.0
3,5946,HOSPITAL NACIONAL HIPOLITO UNANUE,2020,11,150111,LIMA,LIMA,EL AGUSTINO,MINSA,III-1,III,110.0,130.0,525.0,442.0,0.0,145.0,634.0,13.0,17.0,28.0,100.0,61.0,42.0,1080.0,219.0,4.0
4,5947,HOSPITAL DE MEDIANA COMPLEJIDAD JOSE AGURTO TELLO,2020,12,150118,LIMA,LIMA,LURIGANCHO,MINSA,II-2,II,5.0,5.0,38.0,121.0,0.0,8.0,117.0,4.0,5.0,7.0,17.0,19.0,8.0,154.0,9.0,1.0
5,5948,HOSPITAL HERMILIO VALDIZAN,2020,12,150137,LIMA,LIMA,SANTA ANITA,MINSA,III-1,III,55.0,84.0,211.0,70.0,0.0,22.0,77.0,5.0,28.0,5.0,4.0,0.0,13.0,147.0,18.0,2.0
6,5987,HOSPITAL MARIA AUXILIADORA,2020,10,150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,MINSA,III-1,III,95.0,0.0,373.0,356.0,0.0,111.0,385.0,4.0,6.0,12.0,67.0,29.0,15.0,446.0,26.0,2.0
7,6206,NACIONAL  DOS DE MAYO,2020,12,150101,LIMA,LIMA,LIMA,MINSA,III-1,III,72.0,69.0,291.0,401.0,0.0,166.0,244.0,5.0,10.0,23.0,69.0,53.0,45.0,465.0,30.0,3.0
8,6207,HOSPITAL NACIONAL ARZOBISPO LOAYZA,2020,12,150101,LIMA,LIMA,LIMA,MINSA,III-1,III,121.0,191.0,616.0,416.0,0.0,223.0,480.0,15.0,11.0,7.0,48.0,30.0,9.0,19.0,1312.0,4.0
9,6208,INSTITUTO NACIONAL MATERNO PERINATAL,2020,9,150101,LIMA,LIMA,LIMA,MINSA,III-2,III,60.0,69.0,397.0,264.0,0.0,49.0,347.0,5.0,9.0,6.0,44.0,203.0,17.0,800.0,130.0,5.0
